Item,Estoque Atual,Estoque de Segurança,Status,Responsável,Observações
Abacaxi lata - Triangulo,10,,6 OK,TALITA,
Bacon,20,,12 OK,ZE,
Bacon Papada - MR BEEF,30,,OK 12,,
Costela Desfiada - Alfama,1,,COMPRAR 3,,
Frango Empanado - C. Vale,2,,COMPRAR 6,,
Anel de cebola - bem brasil,3,,5 COMPRAR,,
Batata Cliker Bem Brasil cx,4,,12 COMPRAR,,
Batata Palito 7mm Mccain cx - SURECRISP,56,,OK 12,,
Batata Rustica Bem brasil cx,6,,6 ATENÇÃO,,
Cream Chease - CATUPIRY,3,,3 ATENÇÃO,,
Cheddar Cremoso - Vigor,5,,5 ATENÇÃO,,
Cheddar Fateado - Vigor,3,,3 ATENÇÃO,,
Cheddar Fateado Scar - Caixa,,,34,,
Mussarela,,,1,,
Queijo Coalho CRIOULO REDONDO,,,10,,
Queijo Parmesão,,,1,,
Queijo Prato - POLENGHI,,,3,,
Requeijão vigor,,,8,,
Farinha Panko,,,4,,
Oleo de algodão 5lts,,,2,,
Oleo de algodção 15 lt,,,1,,
Barbecue Hemmer,,,2,,
Geleia de pimenta - ZAFRAN,,,2,,
Ketshup Hemmer grande,,,1,,
Maionese Grill = Junior,,,6,,
Maionese Heinz,,,1,,
Maionese Helmns,,,1,,
Mostarda e Mel - Junior,,,5,,
Mostrada Hemmer 3 kg,,,1,,
Sache - Ketshup Heinz,,,10,,
Sache Maionese Heinz,,,10,,
Sache Mostarda Heinz,,,8,,
Pão australiano - Pita,,,48,,
Pão Brioche Bimbo ou Assis,,,1008,,
Pão Brioche,,,50,,
Calda de chocolate innova,,,2,,
Calda de Morango - innova,,,2,,
Chantily,,,1,,
Ovomaltine,,,2,,
Agua,,,24,,
Água com gas,,,24,,
Amarula,,,1,,
Cachaça velho barreiro,,,2,,
Cerveja Para empanar,,,12,,
Cerveja Corona - Long Neck,,,24,,
Cerveja Heiniken - Long Neck,,,48,,
Chopp,,,2,,
Coca 200 ml,,,48,,
Coca 200 ml zero,,,24,,
Coca KS,,,72,,
Coca KS zero,,,48,,
Coca Lata,,,48,,
Coca Lata Zero,,,48,,
Doce Fini,,,5,,
Fanta Laranja Lata,,,24,,
Fanta Uva Lata,,,12,,
Fosforo,,,1,,
Gelo,,,1,,
Polpa Abacaxi com Hortelä,,,20,,
Polpa de acerola,,,20,,
Polpa Maracuja,30,,,,
Guarana antartica Lata,12,,,,
Guarana antartica Zero Lata,12,,,,
Jurupinga,1,,,,
Limoneto,24,,,,
Schweppes Lata,12,,,,
Sipre Lata,12,,,,
Sprite Lemon Flash,12,,,,
Suco Del Vale Pessego Lata,12,,,,
Suco Del vale Uva Lata,12,,,,
Suco Kappo,24,,,,
Vinho pergola,1,,,,
Vodka smirnoff,1,,,,
Xarope monin - Azul,1,,,,
Xarope monin - Limão siciliano,1,,,,
Xarope monin - Maça verde,1,,,,
Xarope monin - Morango,2,,,,
Xarope monin - Tangerina,1,,,,
Canudo drink,1,,,,
Canudo KS,1,,,,
Canudo Milk sheke,1,,,,
Copo descartável.,1,,,,
Garrafa Milk Sheke,100,,,,
Sacolinha,1,,,,
Gliter para drink,1,,,,
Gas para cilindro de milk sheke,6,,,,
